,Termo,Frequência Absoluta,Frequência Relativa (%)
195,eua,3,0.15
1190,salvou,3,0.15
757,levar,3,0.15
782,primeiro,3,0.15
479,pegam,3,0.15
481,frase,3,0.15
567,obtive,3,0.15
936,forma,3,0.15
267,pessoal,3,0.15
258,bolsonarista,3,0.15
151,taxa,3,0.15
285,humanos,3,0.15
139,einstein,3,0.15
1708,alterar,3,0.15
136,usaram,3,0.15
453,saber,3,0.15
1073,comunicación,3,0.15
1158,tomo,3,0.15
296,baseada,3,0.15
297,evidências,3,0.15
1570,maligno,3,0.15
1089,sair,3,0.15
1156,chegou,3,0.15
1707,tentou,3,0.15
128,mil,3,0.15
449,ruim,3,0.15
1024,comprovado,3,0.15
445,petista,3,0.15
207,quase,3,0.15
312,perguntar,3,0.15
1072,medios,3,0.15
1709,decreto,3,0.15
1638,todas,3,0.15
587,burro,3,0.15
1710,mandetta,3,0.15
148,hospitais,3,0.15
808,procure,3,0.15
275,ajude,3,0.15
967,tipo,3,0.15
278,séria,3,0.15
140,proibido,3,0.15
443,😘,3,0.15
1468,mídia,3,0.15
549,imunológico,2,0.1
1036,interesse,2,0.1
545,podemos,2,0.1
600,exames,2,0.1
597,fato,2,0.1
1703,embora,2,0.1
1039,pouco,2,0.1
558,posicionar,2,0.1
1705,live,2,0.1
1026,especialistas,2,0.1
571,asneira,2,0.1
1044,tantos,2,0.1
562,nele,2,0.1
596,batendo,2,0.1
1028,aprova,2,0.1
1033,divulgam,2,0.1
546,biologia,2,0.1
581,sorte,2,0.1
599,realidade,2,0.1
556,inteligentes,2,0.1
579,fim,2,0.1
578,kkkkkkkkk,2,0.1
560,inteligente,2,0.1
574,aliança,2,0.1
722,montagem,2,0.1
1702,orientar,2,0.1
914,social,2,0.1
833,critica,2,0.1
827,leiam,2,0.1
1565,igreja,2,0.1
824,palco,2,0.1
823,medico,2,0.1
1567,aberração,2,0.1
819,apoiador,2,0.1
816,certíssimo,2,0.1
1497,retardados,2,0.1
813,milhões,2,0.1
926,turma,2,0.1
1495,👏,2,0.1
807,pergunta,2,0.1
930,nesse,2,0.1
801,2022,2,0.1
932,continua,2,0.1
796,além,2,0.1
1581,tal,2,0.1
1583,cuida,2,0.1
791,rua,2,0.1
1587,libertar,2,0.1
937,chato,2,0.1
938,perdido,2,0.1
1492,vivem,2,0.1
780,coveiro,2,0.1
1503,retardada,2,0.1
1505,odeia,2,0.1
1600,triste,2,0.1
911,herói,2,0.1
1528,xinga,2,0.1
1521,sequer,2,0.1
881,😂,2,0.1
880,gado,2,0.1
878,possível,2,0.1
876,virem,2,0.1
1519,burra,2,0.1
1534,argumentar,2,0.1
872,😁,2,0.1
895,messias,2,0.1
898,pesquisas,2,0.1
865,chatos,2,0.1
864,parem,2,0.1
900,maravilha,2,0.1
1541,igrejas,2,0.1
1543,julgamento,2,0.1
855,prescrevendo,2,0.1
854,tomaria,2,0.1
850,bebe,2,0.1
1547,medo,2,0.1
848,seguinte,2,0.1
905,tratando,2,0.1
1509,religiosos,2,0.1
1508,endemoniada,2,0.1
1554,fia,2,0.1
1489,precisam,2,0.1
762,líder,2,0.1
609,corpo,2,0.1
693,queria,2,0.1
684,positivo,2,0.1
683,daria,2,0.1
682,exame,2,0.1
987,mentiroso,2,0.1
1457,faça,2,0.1
678,bando,2,0.1
676,fabricar,2,0.1
1663,deixem,2,0.1
1665,poupe,2,0.1
669,custa,2,0.1
1678,bolsoidita,2,0.1
654,valor,2,0.1
647,paciente,2,0.1
640,continuo,2,0.1
